# synapse type	synapse ID	soma distance	section ID	section pt ID	dendrite label	activation times
L2_C2	1315	87.9752373236	87	18	Dendrite	56.1835150709,
L2_C2	1330	1342.9241548	59	39	ApicalDendrite	148.882392789,
L2_C2	1346	986.177967416	51	12	ApicalDendrite	71.1106236347,
L2_C2	1349	260.462776123	36	5	ApicalDendrite	270.352830694,
L2_C2	1353	186.474735841	4	211	Dendrite	39.4758034037,
L2_C2	1354	159.062969287	149	62	Dendrite	39.4758034037,
L2_C2	1355	1352.20316837	78	22	ApicalDendrite	39.4758034037,
L2_C2	1367	372.09791538	35	56	ApicalDendrite	50.9952378273,
L2_C2	1373	1146.4478746	40	121	ApicalDendrite	53.5245412456,
L2_C2	1374	1159.29931566	40	129	ApicalDendrite	53.5245412456,
L2_C2	1391	131.013335075	10	72	ApicalDendrite	125.803584217,
L2_C2	1392	1290.0385384	68	1	ApicalDendrite	125.803584217,
L2_C2	1393	71.4480523411	9	3	ApicalDendrite	263.992373725,
L2_C2	1397	1113.92872454	40	103	ApicalDendrite	311.894679067,
L2_C2	1409	309.73440738	18	162	ApicalDendrite	34.0498558671,171.289245726,
L2_C2	1410	341.610393138	34	24	ApicalDendrite	153.610134769,171.289245726,
L2_C2	1411	284.340212276	24	103	ApicalDendrite	34.0498558671,
L2_C2	1432	1366.36219945	71	8	ApicalDendrite	237.53901637,
L2_C2	1437	918.812103825	38	576	ApicalDendrite	125.373158299,
L2_C2	1440	1205.23068817	51	143	ApicalDendrite	234.650254581,
L2_C2	1441	1384.26382403	81	43	ApicalDendrite	234.650254581,
L2_C2	1457	912.10966404	38	570	ApicalDendrite	288.323393579,
L2_C2	1463	1287.78423319	60	5	ApicalDendrite	91.4390132468,
L2_C2	1465	86.0609081009	112	57	Dendrite	263.707717814,
L2_C2	1466	1188.6391158	51	132	ApicalDendrite	93.0569344204,197.031903114,
L2_C2	1467	1332.22619147	78	12	ApicalDendrite	93.0569344204,197.031903114,
L2_C2	1480	1448.76418591	75	3	ApicalDendrite	153.972614283,
L2_C2	1512	120.633501979	161	73	Dendrite	239.416340019,
L2_C2	1529	1249.11863572	67	50	ApicalDendrite	217.325079383,
L2_C2	1536	186.814772173	4	212	Dendrite	187.311607374,190.539824646,
L2_C2	1537	1351.55841943	59	44	ApicalDendrite	187.311607374,190.539824646,
L2_C2	1538	1244.77927558	67	46	ApicalDendrite	187.311607374,190.539824646,
L2_C2	1562	1467.60322096	73	23	ApicalDendrite	173.347306829,
L2_C2	1603	199.184540879	91	7	Dendrite	43.2368213916,
L2_C2	1620	307.225097237	23	108	ApicalDendrite	156.295091272,
L2_C2	1629	137.281286866	149	35	Dendrite	293.508162539,
L2_C2	1643	1275.30537157	58	11	ApicalDendrite	214.925124478,
L2_C2	1652	86.3752548058	135	60	Dendrite	216.556269668,
L2_C2	1660	109.856022013	161	64	Dendrite	90.9655639282,
L2_C2	1668	1527.84631638	52	139	ApicalDendrite	229.259393522,
L2_C2	1676	77.5163663339	9	17	ApicalDendrite	272.076840015,
L2_C2	1689	219.321770005	18	49	ApicalDendrite	8.91183060577,
L2_C2	1690	927.210993959	38	583	ApicalDendrite	8.91183060577,
L2_C2	1716	150.951375291	90	87	Dendrite	287.914198518,
L2_C2	1717	1414.53687195	74	1	ApicalDendrite	287.914198518,
L2_C2	1720	1423.74493811	46	13	ApicalDendrite	127.72675883,
L2_C2	1757	1217.43174223	62	20	ApicalDendrite	229.746882226,
L2_C2	1764	1393.09314209	77	35	ApicalDendrite	288.938123486,
L2_C2	1773	1278.10777222	58	12	ApicalDendrite	85.4837674604,
L2_C2	1777	228.415615285	5	244	Dendrite	215.298702345,
L2_C2	1788	1019.19579677	61	32	ApicalDendrite	71.5667079221,
L2_C2	1794	975.062102266	61	4	ApicalDendrite	110.73907201,
L2_C3	8	1345.04246335	81	22	ApicalDendrite	265.616325576,
L2_C3	13	663.30644247	38	417	ApicalDendrite	219.876085668,
L2_C3	16	208.754232488	11	86	ApicalDendrite	230.763270899,
L2_C3	35	1339.82501284	81	19	ApicalDendrite	246.851402676,
L2_C3	97	194.373780779	151	22	Dendrite	249.145512459,
L2_C3	106	165.499341094	160	193	Dendrite	216.096737656,
L2_C3	108	140.730264041	11	50	ApicalDendrite	248.002661789,
L2_C3	121	1269.97680585	80	54	ApicalDendrite	144.480875066,
L2_C3	122	1305.52742046	80	78	ApicalDendrite	144.480875066,
L2_C3	139	1367.26447705	82	28	ApicalDendrite	122.892905576,
L2_C3	162	1062.73437252	66	69	ApicalDendrite	137.874452489,
L2_C3	191	148.224697262	10	86	ApicalDendrite	274.032282228,
L2_C3	205	1187.21067608	80	6	ApicalDendrite	75.1277535283,155.023026923,
L2_C3	206	188.649684266	90	119	Dendrite	264.945747264,
L2_C3	215	1145.1945072	66	125	ApicalDendrite	113.252907012,260.73022053,
L2_C3	217	115.762362175	93	59	Dendrite	99.2651755428,
L2_C3	224	1415.99994678	46	9	ApicalDendrite	293.804594863,
L2_C3	238	1065.59036724	40	70	ApicalDendrite	175.828052522,
L2_C3	288	178.343152759	90	112	Dendrite	256.864989329,
L2_C3	290	1464.82380064	64	36	ApicalDendrite	175.161062632,
L2_C3	297	971.894718387	51	3	ApicalDendrite	144.327607798,
L2_C3	298	1416.92574637	64	11	ApicalDendrite	144.327607798,
L2_C3	308	1507.18074152	64	55	ApicalDendrite	273.643857137,
L2_C3	331	138.692479268	10	81	ApicalDendrite	269.840911848,
L2_C3	339	245.110136359	10	190	ApicalDendrite	338.213886975,
L2_C3	341	1001.6290212	40	23	ApicalDendrite	189.76832208,211.27592888,
L2_C3	343	1446.3455354	77	54	ApicalDendrite	136.974669875,
L2_C4	16	1357.58426543	63	114	ApicalDendrite	242.460709923,
L2_D1	3	207.064063045	105	106	Dendrite	219.280068183,
L2_D1	8	1305.37369707	57	6	ApicalDendrite	133.857136571,
L2_D1	41	1396.70141782	50	11	ApicalDendrite	62.9199546221,
L2_D1	59	1179.33869614	62	0	ApicalDendrite	197.622862179,
L2_D1	61	1216.28108048	80	24	ApicalDendrite	76.2090374475,
L2_D1	64	1423.24491811	41	50	ApicalDendrite	270.751782515,
L2_D1	65	201.964844375	100	93	Dendrite	7.03139462334,
L2_D1	75	1385.65749095	50	6	ApicalDendrite	288.896631013,
L2_D1	78	263.457513755	133	135	Dendrite	276.082866862,
L2_D1	102	1425.15704394	41	51	ApicalDendrite	301.73603469,
L2_D2	6	1421.27810177	55	20	ApicalDendrite	272.607464914,
L2_D2	16	50.9540174504	132	32	Dendrite	1.49095732565,
L2_D2	29	259.339451125	151	67	Dendrite	311.268479516,
L2_D2	30	1154.12964891	40	126	ApicalDendrite	311.268479516,
L2_D2	42	1308.21758746	80	80	ApicalDendrite	237.758069019,
L2_D2	45	1205.87922002	40	158	ApicalDendrite	134.797131362,
L2_D2	57	162.50906345	130	129	Dendrite	166.710248097,
L2_D2	66	1213.26654032	62	19	ApicalDendrite	262.871995318,
L2_D2	71	1288.96381294	68	0	ApicalDendrite	237.559849587,
L2_D2	88	1169.55068865	61	133	ApicalDendrite	212.43670333,
L2_D2	109	104.609883883	96	48	Dendrite	151.170338216,
L2_D2	111	1378.23933735	81	39	ApicalDendrite	151.170338216,
L2_D2	123	1034.0081279	40	47	ApicalDendrite	118.676735002,
L2_D2	130	919.952724209	38	577	ApicalDendrite	44.616099365,53.5845028882,
L2_D2	134	1186.42216348	80	5	ApicalDendrite	272.131325023,
L2_D2	147	1384.31771556	63	132	ApicalDendrite	178.572187482,
L2_D2	161	1237.62672262	80	35	ApicalDendrite	118.958035245,
L2_D2	186	1040.24597975	61	44	ApicalDendrite	220.897494831,
L2_D2	189	1296.77889868	68	5	ApicalDendrite	18.6275028186,
L2_D2	208	46.6001290842	132	25	Dendrite	259.002393028,
L2_D2	210	169.702465057	84	123	ApicalDendrite	259.002393028,
L2_D2	219	1496.53530992	60	104	ApicalDendrite	268.542631907,
L2_D2	232	1280.45120108	67	74	ApicalDendrite	172.337065936,
L2_D2	235	55.9195192356	161	21	Dendrite	212.143746495,285.803054079,
L2_D2	237	1139.50187386	66	121	ApicalDendrite	211.195148743,
L2_D2	238	1447.30788355	52	99	ApicalDendrite	243.874142076,
L2_D2	253	1062.05452234	40	67	ApicalDendrite	186.925337723,280.929272182,
L2_D2	259	1276.22314429	80	58	ApicalDendrite	331.702464277,
L2_D2	263	1313.90284687	63	82	ApicalDendrite	256.799679099,
L2_D2	271	1208.41915103	63	21	ApicalDendrite	190.438802564,
L2_D2	275	1186.47134339	40	145	ApicalDendrite	277.56577048,
L2_D2	289	1031.36150396	40	45	ApicalDendrite	249.713209206,
L2_D2	293	139.637301788	139	93	Dendrite	285.648183913,
L2_D2	299	1220.31199657	80	26	ApicalDendrite	249.466061917,
L2_D2	303	1231.71045486	62	26	ApicalDendrite	145.114174697,
L2_D2	304	1103.94032201	66	96	ApicalDendrite	43.7992115031,
L2_D2	310	1307.44806402	79	15	ApicalDendrite	17.5964216855,283.469999031,
L2_D2	314	281.858304263	135	276	Dendrite	11.8101995615,
L2_D2	325	192.165959684	96	137	Dendrite	105.840777469,
L2_D2	345	1376.52092131	81	38	ApicalDendrite	65.1256466254,
L2_D2	358	171.101262336	135	155	Dendrite	27.4570352472,100.097779002,
L2_D2	359	1127.66382552	66	112	ApicalDendrite	100.097779002,
L2_D3	24	138.754037597	100	15	Dendrite	149.002953454,
L2_D3	26	100.816985975	141	48	Dendrite	307.26620138,
L2_D3	38	1347.2653831	79	32	ApicalDendrite	161.499513353,
L2_D4	20	185.463730737	102	113	Dendrite	129.500533625,
L2_D4	28	1303.89872828	60	12	ApicalDendrite	57.2756671686,
L2_D4	30	1280.98093427	53	16	ApicalDendrite	104.075612967,
L2_D4	52	1258.13048619	40	186	ApicalDendrite	13.5734493796,
L2_D4	58	211.220742511	99	82	Dendrite	288.634124137,
L2_D4	66	1442.05571559	57	69	ApicalDendrite	42.6831373124,
L2_Gamma	12	796.445208734	38	499	ApicalDendrite	5.57234935011,
L2_Gamma	43	1111.05695183	40	101	ApicalDendrite	56.919476374,
L2_Gamma	48	138.657496191	131	83	Dendrite	238.841866348,
L34_A1	2	202.412569586	152	35	Dendrite	290.758054152,
L34_A1	23	1085.23271439	40	84	ApicalDendrite	25.7831301755,
L34_A1	27	257.352751778	10	201	ApicalDendrite	329.752907938,
L34_A2	0	181.436026592	138	135	Dendrite	238.122229939,
L34_A2	5	121.667137114	87	44	Dendrite	201.510609905,
L34_A2	19	177.590473277	89	22	Dendrite	161.831680763,
L34_A4	2	869.963879386	38	543	ApicalDendrite	70.1492145924,
L34_Alpha	0	86.5646499652	131	26	Dendrite	145.540567425,
L34_Alpha	3	107.755248244	135	83	Dendrite	295.780846558,
L34_Alpha	7	105.944798753	139	61	Dendrite	82.3366306774,316.321890361,
L34_Alpha	12	134.299544747	141	103	Dendrite	18.3841288883,133.443977564,
