t	Vm run 00	Vm run 01	Vm run 02	Vm run 03	Vm run 04	Vm run 05
133.95	-66.2295909247	-33.1938925181	-68.0033697256	-66.3925436267	-63.7370596988	-67.173558653
133.975	-66.2124681042	-34.1018630554	-67.9814960194	-66.4122575026	-63.7459793846	-67.1264129725
134.0	-66.196064614	-34.9933797148	-67.9597214939	-66.4310581683	-63.7553177242	-67.0799909859
134.025	-66.180493891	-35.8683121579	-67.9375742872	-66.4489281169	-63.765142031	-67.0344151756
134.05	-66.1658351405	-36.7264328433	-67.9148346038	-66.4658915997	-63.7754648443	-66.9897700243
134.075	-66.15213982	-37.5674647034	-67.8915001356	-66.4819959686	-63.7862698158	-66.946112441
134.1	-66.1394372851	-38.3911259308	-67.8676972857	-66.4973022306	-63.7975312041	-66.9034797835
134.125	-66.1277396322	-39.1971677974	-67.8436084378	-66.5118785954	-63.8092212096	-66.8618957904
134.15	-66.117032338	-39.9854019324	-67.8194265524	-66.5257957174	-63.8213124114	-66.8213748502
134.175	-66.1072693627	-40.7557147065	-67.7926918201	-66.5391233347	-63.8337786097	-66.7819300029
134.2	-66.0983803241	-41.5080681222	-67.7625478145	-66.5519280425	-63.8465951679	-66.7435732035
134.225	-66.0902839548	-42.2421744685	-67.7293555086	-66.5642719429	-63.8597391824	-66.7063136629
134.25	-66.0829006139	-42.9578917728	-67.6939213476	-66.5762119569	-63.8731895793	-66.6701570777
134.275	-66.0761604208	-43.6552554741	-67.6570857364	-66.5877996333	-63.8869271614	-66.6351057835
134.3	-66.0700068624	-44.3343855282	-67.6195679939	-66.5990804005	-63.9009346158	-66.6011593129
134.325	-66.0643971477	-44.9954117745	-67.5819317486	-66.6100926178	-63.9151964846	-66.5683150303
134.35	-66.0593007369	-45.6384355347	-67.5445970617	-66.6208672067	-63.9296991037	-66.5365643528
134.375	-66.0546971213	-46.2635182962	-67.5078664126	-66.6314281992	-63.9444305138	-66.5033983531
134.4	-66.0505735078	-46.8706827079	-67.4719514072	-66.6417940415	-63.9593803515	-66.4681200182
134.425	-66.0469227376	-47.4599277832	-67.4369852271	-66.6519792695	-63.9745397238	-66.4310313593
134.45	-66.0437415641	-48.0312569882	-67.4030353556	-66.6619961908	-63.9899010751	-66.3927143936
