# presynaptic cell type	cell ID	spike times
L23Trans_C2	6	35.3693197515,102.64930541,256.431992343,
L23Trans_C2	7	253.122821759,
L23Trans_C2	8	178.049389068,258.762533748,
L23Trans_C2	9	254.025002104,344.681821567,
L23Trans_C2	10	85.590160553,85.8693480708,122.067898765,251.540730086,253.209101815,255.847201209,281.997603998,290.495600992,316.184184435,
L23Trans_C2	11	103.716805022,253.193146762,257.512222977,
L23Trans_C2	12	195.173300124,254.857694599,259.120366269,268.055891675,279.243949675,
L23Trans_C2	13	95.0798479352,175.327732219,253.338010179,275.101875607,
L23Trans_C2	14	12.0259184856,38.336160119,216.69813998,239.501066017,253.644961053,279.920953199,333.445983938,
L23Trans_C2	15	242.49555055,
L23Trans_C2	16	52.1472772925,105.701816549,135.813076828,
L23Trans_C2	17	64.998860367,108.441875054,125.858220661,188.792701836,219.659292138,253.681604662,
L23Trans_C2	18	254.183936128,256.598919108,
L23Trans_C2	20	9.41285017365,120.866737976,198.969464888,253.842012181,280.859843703,
L23Trans_C2	21	253.319415915,278.781759479,
L23Trans_C2	22	10.2462576959,107.311223124,287.816137244,320.30462156,
L23Trans_C2	23	75.4861174346,254.930002915,259.292345067,278.750950631,326.009535892,
L23Trans_C2	24	53.93230792,64.2200584815,256.838236266,
L23Trans_C2	25	212.0759545,256.473258871,330.976486829,
L23Trans_C2	26	79.32666676,105.022009525,279.449050753,
L23Trans_C2	27	89.2279871514,121.246889566,271.372612829,
L23Trans_C2	28	26.132328677,137.721880819,256.084807496,267.126072389,268.263043819,
L23Trans_C2	29	253.557763408,259.186217455,266.292948026,
L23Trans_C2	30	27.2657359008,110.814461705,178.873208746,
L23Trans_C2	31	24.442886947,59.9362569926,87.2948636977,129.885634411,253.845571033,
L23Trans_C2	32	253.956544328,320.815689994,
L23Trans_C2	33	93.1248592505,192.311198773,258.63129249,274.725342613,
L23Trans_C2	34	204.593768779,257.01886403,
L23Trans_C2	35	120.573140018,
L23Trans_C2	36	80.8964249138,110.202441565,244.468677743,253.166332852,276.594731757,
L23Trans_C2	37	114.926806057,147.46032181,286.910129219,
L23Trans_C2	38	253.286545358,253.574557217,
L23Trans_C2	39	26.5341414264,62.0644440833,105.415691028,184.117348973,259.039266008,
L23Trans_C2	40	76.4881970423,149.171616298,253.964781037,322.154868971,
L23Trans_C2	41	58.4734148147,151.725899264,253.927384758,
L23Trans_C2	42	67.5729107183,97.8746601157,226.576372702,
L23Trans_C2	43	219.402231964,295.524516228,
L23Trans_C2	44	140.818823061,253.745222905,
L23Trans_C2	45	155.172641193,253.521921024,255.03122825,256.627629944,
L23Trans_C2	46	18.2673960229,34.0895187532,276.261680361,
L23Trans_C2	47	153.848435989,228.654087217,229.527047622,293.667435552,326.650497702,333.746466654,342.29799817,
L23Trans_C2	48	57.178147781,331.264748536,
L23Trans_C2	49	305.982564888,
L23Trans_C2	50	253.961748069,
L23Trans_C2	51	15.1729888842,19.063935893,48.6110312751,79.6408619802,188.300203632,195.865364696,247.875920958,255.599490526,
L23Trans_C2	53	68.2683152275,107.369504858,137.111003442,253.15554823,254.168330205,301.67104448,
L23Trans_C2	54	0.67845236082,103.436825427,180.798520012,256.568797693,
L23Trans_C2	55	93.1824290133,96.6290857252,253.352000461,259.280335763,330.748204324,
L23Trans_C2	56	206.767045181,246.026642716,249.289897687,254.675513007,255.080382266,256.408614626,258.636592283,
L23Trans_C2	57	27.329466425,156.649573728,328.445741747,
L23Trans_C2	58	83.4279899899,253.025927704,
L23Trans_C2	59	174.509897651,211.810955379,221.187098292,246.706419491,
L23Trans_C3	0	258.961520461,337.139489746,
L23Trans_C3	1	3.2648098625,26.706414054,269.458022927,276.140599856,281.516221144,
L23Trans_D1	0	28.2872816382,40.1211216956,305.64943138,
L23Trans_D2	0	116.271720035,139.937823704,196.412126768,227.201932957,259.127025242,
L23Trans_D2	1	146.397717248,191.251665065,192.06303224,241.192337198,259.266241493,
L23Trans_D2	2	73.0242197995,91.6886919531,273.446372628,
L23Trans_D2	3	71.5421746214,209.07785874,318.226468595,
L23Trans_D2	4	154.705471165,301.743701457,
L23Trans_D2	5	30.4377114629,65.5493035895,75.0495654641,244.612766839,246.212333754,252.202622037,330.31353109,
L23Trans_D2	6	264.539407885,
L23Trans_D2	7	47.3810362813,94.5205920697,228.903342476,256.184025683,
L23Trans_D2	8	290.315077861,
L2_Alpha	8	301.264729326,
L2_B1	4	237.920789568,
L2_B1	5	20.0679835863,174.454098093,
L2_B1	6	168.696553328,
L2_B1	17	276.638926683,
L2_B1	19	199.735467401,
L2_B1	29	285.591504696,
L2_B1	33	285.34006475,
L2_B1	34	225.788645591,
L2_B1	35	300.311089822,
L2_B1	38	191.300686344,
L2_B1	40	301.858890371,
L2_B1	44	167.47543966,
L2_B1	47	184.531690107,
L2_B1	58	42.6717591856,
L2_B1	60	88.0956752372,
L2_B1	63	86.3964324667,
L2_B1	68	170.026437443,
L2_B2	5	283.722009807,330.081718414,
L2_B2	7	207.751026379,
L2_B2	15	105.226765134,
L2_B2	18	85.1624517028,
L2_B2	29	33.6878347403,314.498662734,
L2_B2	40	229.373517661,
L2_B2	43	73.0848906352,
L2_B2	52	79.1864648535,
L2_B2	55	124.099123588,
L2_B2	62	221.384665603,
L2_B2	63	278.637989083,
L2_B2	78	61.8030033326,
L2_B2	81	81.661407602,320.853598541,
L2_B2	89	86.5436908432,
L2_B2	92	174.027128686,
L2_B2	95	290.606575553,
L2_B2	101	107.651215704,
L2_B2	114	164.713843689,
L2_B2	123	257.061642995,
L2_B2	130	237.9268986,
L2_B2	136	113.71628577,
L2_B2	145	262.396238909,
L2_B2	148	133.989929561,
L2_B2	149	93.364378562,194.703541403,
L2_B2	153	131.398230004,
L2_B2	164	66.9203710803,
L2_B2	174	61.7155836703,
L2_B2	180	311.771130896,
L2_B2	182	8.56647138299,
L2_B2	192	36.1804345623,
L2_B2	197	24.0968138799,287.035648539,
L2_B2	208	294.978036865,
L2_B2	217	13.4325437786,
L2_B2	219	222.768787622,
L2_B2	243	283.511467133,334.018096255,
L2_B2	246	261.061890236,
L2_B2	253	238.451715457,
L2_B2	255	111.523155654,
L2_B2	258	327.825310825,
L2_B2	263	47.8717434273,
L2_B2	264	178.813080383,
L2_B2	271	1.44196537604,
L2_B2	274	257.590476283,
L2_B2	277	136.254846448,
L2_B3	4	253.580392542,
L2_B3	10	202.307892365,
L2_B3	28	64.8478240654,
L2_B3	37	311.447211219,
L2_B3	44	40.9483918303,
L2_B3	52	132.643011368,
L2_B3	56	141.478853429,
L2_B3	57	30.4592672387,190.189722394,
L2_B3	61	303.233226426,
L2_B3	76	58.0662178742,
