t	Vm run 00	Vm run 01	Vm run 02	Vm run 03	Vm run 04	Vm run 05
319.475	-75.6298682944	-76.7183061337	-77.0428037441	-74.3447815597	-76.8984180312	-76.9501442281
319.5	-75.6402975118	-76.7197513796	-77.0456218661	-74.3466674905	-76.8836239165	-76.9642011559
319.525	-75.6508511481	-76.7213003879	-77.0485668355	-74.348959907	-76.8700809353	-76.9781022018
319.55	-75.6615139339	-76.7229568915	-77.0516404304	-74.3516863972	-76.8577181239	-76.9918399113
319.575	-75.6722656608	-76.724723933	-77.0548442345	-74.3548680287	-76.8464649916	-77.0054079164
319.6	-75.6830811726	-76.7266038666	-77.0581796372	-74.3585201304	-76.8362520696	-77.0188009409
319.625	-75.6939308061	-76.7285983404	-77.0616478341	-74.3626530287	-76.8270115279	-77.0320147864
319.65	-75.7047812221	-76.7307082694	-77.0652498284	-74.3672727255	-76.8186777881	-77.0450456175
319.675	-75.7155965517	-76.7329338114	-77.0689864318	-74.3723815136	-76.8111880765	-77.0578574902
319.7	-75.7263397576	-76.7352743543	-77.0728582672	-74.3779785297	-76.8044828823	-77.0703484405
319.725	-75.7369740849	-76.737728524	-77.0768657694	-74.3840602447	-76.7985062978	-77.0823438805
319.75	-75.7474644768	-76.7402942181	-77.0810091881	-74.3906208971	-76.7932062389	-77.0936177341
319.775	-75.7577788387	-76.7429686645	-77.0852885886	-74.3976528734	-76.7885345503	-77.1039265608
319.8	-75.7678890664	-76.7457485043	-77.0897038547	-74.4051470395	-76.7844470092	-77.1130423677
319.825	-75.7777644953	-76.7486298927	-77.0942546908	-74.4130930307	-76.7809032434	-77.120776325
319.85	-75.7873602153	-76.7516086134	-77.0989406244	-74.4214795014	-76.7778665841	-77.126991566
319.875	-75.7966087401	-76.7546801975	-77.1037610098	-74.4302943434	-76.7753038671	-77.1316066617
319.9	-75.8054201844	-76.7578400433	-77.1087150321	-74.4395248724	-76.7720538242	-77.1345925649
319.925	-75.8136903145	-76.7610835295	-77.1138017127	-74.4491579895	-76.7667169165	-77.1359657443
319.95	-75.8213126203	-76.7644061189	-77.1190199148	-74.4591803201	-76.7583424878	-77.1125269255
319.975	-75.8281903684	-76.7678034479	-77.124368351	-74.4695783314	-76.7465711005	-77.0629271616
320.0	-75.8342459845	-76.7712714027	-77.1298455911	-74.4803384334	-76.731506807	-76.9935362371
320.025	-75.8394267133	-76.7748061784	-77.1354500711	-74.4914470641	-76.7135342126	-76.9113531356
320.05	-75.8437066735	-76.7784043238	-77.1411801031	-74.5028907609	-76.6931678071	-76.8220379742
320.075	-75.8470860447	-76.7820627706	-77.1470338851	-74.5146562198	-76.6709513693	-76.7297187647
320.1	-75.8495883063	-76.7857788505	-77.1530095129	-74.5267303447	-76.6473997758	-76.6372564532
320.125	-75.8512563877	-76.7895502994	-77.1591049901	-74.5391002868	-76.6229702331	-76.5465619704
320.15	-75.8521484062	-76.7933752526	-77.1653182401	-74.5517534763	-76.5980516554	-76.4588624002
320.175	-75.8523334693	-76.7972522316	-77.1716471172	-74.5646776463	-76.5729642079	-76.3749030258
320.2	-75.8518878406	-76.8011801242	-77.1780894174	-74.5778608507	-76.547964033	-76.295094804
320.225	-75.8508916226	-76.8051581605	-77.1846428895	-74.5912914772	-76.5232550492	-76.2196201052
320.25	-75.8494260176	-76.8091858844	-77.1913052507	-74.6049582555	-76.4989941312	-76.148507799
320.275	-75.8475711552	-76.8132631242	-77.1980742137	-74.6188502629	-76.4752964154	-76.0816862067
320.3	-75.8454044429	-76.8173899611	-77.2049475195	-74.6329569281	-76.4522418541	-76.0190201977
320.325	-75.8429993729	-76.8215666978	-77.2119229704	-74.6472680335	-76.4298821065	-75.960336971
320.35	-75.840424713	-76.825793828	-77.2189984538	-74.661773717	-76.4082472043	-75.9054437873
320.375	-75.837744011	-76.8300720059	-77.2261719538	-74.6764644733	-76.3873513594	-75.8541399862
320.4	-75.8350153484	-76.8344020181	-77.2334415509	-74.6913311528	-76.3671976537	-75.8062249659
320.425	-75.8322912856	-76.8387847562	-77.2408054105	-74.706364961	-76.3477816701	-75.7615033194
320.45	-75.8296189502	-76.8432211921	-77.2482617667	-74.7215574542	-76.3290942343	-75.7197879851
320.475	-75.8270402298	-76.8477123549	-77.2558089027	-74.7369005347	-76.31112344	-75.6809020239
320.5	-75.8245920356	-76.8522593092	-77.2634451318	-74.7523864423	-76.2938561042	-75.6446794566
320.525	-75.8223066119	-76.8568631367	-77.2711687804	-74.768007745	-76.2772787691	-75.6109654734
320.55	-75.8202118716	-76.8615249184	-77.2789781742	-74.783757327	-76.261378352	-75.5796162332
320.575	-75.8183317425	-76.8662457198	-77.2868716276	-74.7996283749	-76.2461425253	-75.5504984068
320.6	-75.816686513	-76.871026577	-77.2948474345	-74.815614363	-76.231559898	-75.5233676384
320.625	-75.8152931691	-76.8758684855	-77.3029038594	-74.8317090372	-76.2176200563	-75.4978262098
320.65	-75.8141657178	-76.8807723898	-77.3110391229	-74.8479063979	-76.2043135102	-75.47338877
320.675	-75.8133154915	-76.8857391754	-77.3192513791	-74.8642006825	-76.191631582	-75.449582018
320.7	-75.812751433	-76.8907696612	-77.327538682	-74.8805863481	-76.1795662639	-75.4260204827
320.725	-75.8124749175	-76.8958645942	-77.3358989413	-74.8970580536	-76.1681100647	-75.4024415814
320.75	-75.8124709715	-76.9010246452	-77.3443298692	-74.9136106425	-76.1572558589	-75.3787072415
320.775	-75.8127022091	-76.9062504052	-77.3528289264	-74.9302391262	-76.1469967467	-75.3547859276
320.8	-75.8131092721	-76.9115423835	-77.3613932711	-74.9469386678	-76.1373259309	-75.3307268483
320.825	-75.8136172343	-76.9169010059	-77.3700197201	-74.9637045678	-76.1282366119	-75.3066338488
320.85	-75.8141450518	-76.9223266146	-77.3787047251	-74.9805322492	-76.1197219028	-75.2826427897
320.875	-75.814615023	-76.9278194684	-77.3874443698	-74.9974172455	-76.1117747629	-75.2589037643
320.9	-75.8149602694	-76.9333797432	-77.3962343876	-75.014355189	-76.1043879486	-75.2355848766
320.925	-75.8151294467	-76.9390075334	-77.4050701984	-75.0313418002	-76.0975539802	-75.2128474681
320.95	-75.8150887647	-76.9447028535	-77.413946963	-75.0483728788	-76.0912651214	-75.1908337406
320.975	-75.8148218569	-76.9504656401	-77.42285965	-75.0654442958	-76.085513371	-75.1696639538
321.0	-75.8143281749	-76.9562957534	-77.4318031115	-75.0825519867	-76.0802904636	-75.1494372066
321.025	-75.8136205383	-76.9621929797	-77.4407721618	-75.0996919453	-76.0755878775	-75.1302331847
321.05	-75.8127223387	-76.9681570327	-77.4497616563	-75.1168602197	-76.0713968489	-75.1121140933
321.075	-75.8116647488	-76.974187556	-77.4587665662	-75.1340529079	-76.06770839	-75.0951265846
